"","trial","Accuracy","Accuracy.1","Accuracy.2","Accuracy.3"
"1","trial_2",0.990518518518518,0.990111111111111,0.989814814814815,0.990555555555556
"2","trial_3",0.991962962962963,0.991592592592593,0.991222222222222,0.991148148148148
"3","trial_4",0.991407407407407,0.991777777777778,0.992037037037037,0.991481481481482
"4","trial_5",0.991851851851852,0.991481481481482,0.991592592592593,0.991777777777778
"5","trial_6",0.991111111111111,0.990888888888889,0.990777777777778,0.991
"6","trial_7",0.992259259259259,0.992185185185185,0.992407407407407,0.99237037037037
"7","trial_8",0.992296296296296,0.992481481481482,0.992888888888889,0.992555555555556
"8","trial_9",0.992333333333333,0.992444444444444,0.992666666666667,0.992703703703704
"9","trial_10",0.992592592592593,0.992777777777778,0.992444444444444,0.99237037037037
"10","trial_11",0.992296296296296,0.992925925925926,0.992222222222222,0.992592592592593
"11","trial_12",0.992777777777778,0.992481481481482,0.992888888888889,0.992703703703704
"12","trial_13",0.991962962962963,0.991703703703704,0.992185185185185,0.991444444444444
"13","trial_14",0.992185185185185,0.992333333333333,0.992185185185185,0.992481481481482
"14","trial_15",0.992185185185185,0.992111111111111,0.992518518518518,0.99237037037037
"15","trial_16",0.99237037037037,0.992296296296296,0.991851851851852,0.992407407407407
"16","trial_17",0.992518518518518,0.992481481481482,0.992481481481482,0.992481481481482
"17","trial_18",0.991962962962963,0.991962962962963,0.991925925925926,0.992148148148148
"18","trial_19",0.992222222222222,0.991740740740741,0.99237037037037,0.992111111111111
"19","trial_20",0.992592592592593,0.991925925925926,0.991777777777778,0.992518518518518
"20","trial_21",0.992111111111111,0.992111111111111,0.992296296296296,0.992074074074074
"21","trial_22",0.992555555555556,0.992,0.992259259259259,0.992185185185185
"22","trial_23",0.99237037037037,0.992222222222222,0.992185185185185,0.992259259259259
"23","trial_24",0.992333333333333,0.992037037037037,0.991481481481482,0.991814814814815
"24","trial_26",NA,NA,NA,NA
"25","trial_26",0.992111111111111,0.991814814814815,0.991740740740741,0.991814814814815
"26","trial_27",0.991851851851852,0.992185185185185,0.992074074074074,0.992259259259259
"27","trial_28",0.992222222222222,0.991925925925926,0.992185185185185,0.992407407407407
"28","trial_29",0.992074074074074,0.992222222222222,0.991962962962963,0.991555555555556
"29","trial_30",0.992666666666667,0.992074074074074,0.992111111111111,0.992074074074074
"30","trial_31",0.992333333333333,0.992148148148148,0.992814814814815,0.99262962962963
"31","trial_32",0.991925925925926,0.992111111111111,0.992,0.992185185185185
"32","trial_33",0.992222222222222,0.992111111111111,0.992037037037037,0.992074074074074
"33","trial_34",0.992185185185185,0.992592592592593,0.992185185185185,0.992333333333333
"34","trial_35",0.992,0.991777777777778,0.991962962962963,0.991925925925926
"35","trial_36",0.991888888888889,0.991148148148148,0.992296296296296,0.991703703703704
"36","trial_37",0.991962962962963,0.991074074074074,0.991518518518518,0.991518518518518
